School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Peter J. Shields Elementary,Sacramento,Folsom-Cordova Unified,"10434 Georgetown Dr. Rancho Cordova, CA 95670-2261",(916) 294-9160,"Ted Bosque, (916) 294-9160, tbosque@fcusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Rancho Cordova Elementary,Sacramento,Folsom-Cordova Unified,"2562 Chassella Way Rancho Cordova, CA 95670-3740",(916) 294-9165,"Jessica Hutchinson, (916) 294-9165, jhutchin@fcusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Riverview STEM Elementary,Sacramento,Folsom-Cordova Unified,"10700 Ambassador Dr. Rancho Cordova, CA 95670-2406",(916) 294-2435,"Lari Miller-Powell, (916) 294-2435, lmiller@fcusd.org",Elementary Schools (Public),K,5,Yes,No,Yes,No
Russell Ranch Elementary,Sacramento,Folsom-Cordova Unified,"375 Dry Creek Rd. Folsom, CA 95630-6186",(916) 294-2430,"Joanie Cunningham, (916) 294-2430, jcunning@fcusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Sandra J. Gallardo Elementary,Sacramento,Folsom-Cordova Unified,"775 Russi Rd. Folsom, CA 95630-3514",(916) 294-9170,"Patricia Graham, (916) 294-9170, pgraham@fcusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Sutter Middle,Sacramento,Folsom-Cordova Unified,"715 Riley St. Folsom, CA 95630-3053",(916) 294-9035,"Tarik McFall, tmcfall@fcusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Theodore Judah Elementary,Sacramento,Folsom-Cordova Unified,"101 Dean Way Folsom, CA 95630-2801",(916) 294-9175,"Jonathan Johnson, jgjohnson@fcusd.org",Elementary Schools (Public),K,5,Yes,No,Yes,No
Vista del Lago High,Sacramento,Folsom-Cordova Unified,"1970 Broadstone Pkwy. Folsom, CA 95630-8335",(916) 294-2410,"Lori Emmington, (916) 294-2410, lemmingt@fcusd.org",High Schools (Public),9,12,Yes,No,No,No
W. E. Mitchell Middle,Sacramento,Folsom-Cordova Unified,"2100 Zinfandel Dr. Rancho Cordova, CA 95670-5228",(916) 294-9050,"Amy Strawn, (916) 294-9050, astrawn@fcusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
White Rock Elementary,Sacramento,Folsom-Cordova Unified,"10487 White Rock Rd. Rancho Cordova, CA 95670-5530",(916) 294-9180,"Kimberly Christierson, kchristi@fcusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Williamson Elementary,Sacramento,Folsom-Cordova Unified,"2275 Benita Dr. Rancho Cordova, CA 95670-5299",(916) 294-9185,"Angi Carlomagno, (916) 294-9185, acarloma@fcusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Lake Canyon Elementary,Sacramento,Galt Joint Union Elementary,"800 Lake Canyon Ave. Galt, CA 95632-8166",(209) 744-5200,"Judi Hayes, (209) 744-5200 Ext. 1303, jhayes@galt.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Marengo Ranch Elementary,Sacramento,Galt Joint Union Elementary,"1000 Elk Hills Dr. Galt, CA 95632-3434",(209) 745-5470,"Jennifer Porter, (209) 745-5470 Ext. 1020, jporter@galt.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
River Oaks Elementary,Sacramento,Galt Joint Union Elementary,"905 Vintage Oak Ave. Galt, CA 95632-3076",(209) 745-4614,"Donna Gill, (209) 745-4614 Ext. 303, dgill@galt.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Robert L. McCaffrey Middle,Sacramento,Galt Joint Union Elementary,"997 Park Terrace Dr. Galt, CA 95632-3766",(209) 745-5462,"Ron Rammer, (209) 745-5462 Ext. 1303, rrammer@galt.k12.ca.us",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Valley Oaks Elementary,Sacramento,Galt Joint Union Elementary,"21 C St. Galt, CA 95632-1825",(209) 745-1564,"David Nelson, (209) 745-1564 Ext. 303, dnelson@galt.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Vernon E. Greer Elementary,Sacramento,Galt Joint Union Elementary,"248 West A St. Galt, CA 95632-2449",(209) 745-2641,"Stephanie Simonich, (209) 745-2641 Ext. 303, ssimonich@galt.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Galt High,Sacramento,Galt Joint Union High,"145 North Lincoln Way Galt, CA 95632-1720",(209) 745-3081,"Mrs. Kellie Beck, (209) 744-5313, kbeck@ghsd.k12.ca.us",High Schools (Public),9,12,Yes,No,Yes,No
Liberty Ranch High,Sacramento,Galt Joint Union High,"12945 Marengo Rd. Galt, CA 95632-8422",(209) 744-4250,"Joseph Saramago, (209) 744-4250 Ext. 6107, jsaramago@ghsd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
American Lakes,Sacramento,Natomas Unified,"2800 Stonecreek Dr. Sacramento, CA 95833-1634",(916) 567-5500,"Mr. Thomas Dickinson, (916) 567-5500, tdickinson@natomasunified.org",Elementary Schools (Public),K,8,Yes,No,No,No
Bannon Creek,Sacramento,Natomas Unified,"2775 Millcreek Dr. Sacramento, CA 95833-1856",(916) 567-5600,"Ms. Suzen Holtemann, (916) 567-5600, sholtemann@natomasunified.org",Elementary Schools (Public),K,8,Yes,No,No,No
H. Allen Hight Elementary,Sacramento,Natomas Unified,"3200 North Park Dr. Sacramento, CA 95835-1896",(916) 567-5700,"Ms. Andrea Mitchell, (916) 567-5700, amitchell@natomasunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Heron,Sacramento,Natomas Unified,"5151 Banfield Dr. Sacramento, CA 95835-1421",(916) 567-5680,"Ms. Amy Whitten, (916) 567-5680, awhitten@natomasunified.org",Elementary Schools (Public),K,8,Yes,No,No,No
Inderkum High,Sacramento,Natomas Unified,"2500 New Market Dr. Sacramento, CA 95835-2238",(916) 567-5640,"Ms. Grace Strickland, (916) 567-5640, gstrickland@natomasunified.org",High Schools (Public),9,12,Yes,No,No,No
Jefferson,Sacramento,Natomas Unified,"2001 Pebblewood Sacramento, CA 95833-1400",(916) 567-5580,"Ms. Danisha Keeler, (916) 567-5589, dkeeler@natomasunified.org",Elementary Schools (Public),K,8,Yes,No,No,No
Natomas High,Sacramento,Natomas Unified,"3301 Fong Ranch Rd. Sacramento, CA 95834-1719",(916) 641-4960,"Mr. Scott Pitts, (916) 641-4960, spitts@natomasunified.org",High Schools (Public),9,12,Yes,No,No,No
Natomas Middle,Sacramento,Natomas Unified,"3200 North Park Dr. Sacramento, CA 95835-1896",(916) 567-5540,"Mr. Marcel Baker, (916) 567-5540, mbaker@natomasunified.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Natomas Park Elementary,Sacramento,Natomas Unified,"4700 Crest Dr. Sacramento, CA 95835-1251",(916) 928-5234,"Ms. Nou Vang, nvang@natomasunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Paso Verde,Sacramento,Natomas Unified,"5240 PV Scholars Ln. Sacramento, CA 95835",(916) 567-5810,"Ms. Heather Gohn, (916) 567-5810, hgohn@natomasunified.org",Elementary Schools (Public),K,8,Yes,No,No,No
Two Rivers Elementary,Sacramento,Natomas Unified,"3201 West River Dr. Sacramento, CA 95833-3768",(916) 567-5520,"Ms. Colleen Perry, (916) 567-5520, cperry@natomasunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Witter Ranch Elementary,Sacramento,Natomas Unified,"3790 Poppy Hill Way Sacramento, CA 95834-1030",(916) 567-5620,"Mr. Patrick Birdsong, (916) 567-5620, pbirdsong@natomasunified.org",Elementary Schools (Public),K,5,Yes,No,No,No
Bates Elementary,Sacramento,River Delta Joint Unified,"PO Box 308 Courtland, CA 95615-0308",(916) 775-1771,"Maria Elena Becerra, (916) 775-1771, mebecerra@rdusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Clarksburg Middle,Sacramento,River Delta Joint Unified,"52870 Netherlands Rd. Clarksburg, CA 95612-5078",(916) 744-1717,"Christine Mabery, (916) 744-1714, cmabery@rdusd.org",Intermediate/Middle Schools (Public),7,9,Yes,No,No,No
D. H. White Elementary,Sacramento,River Delta Joint Unified,"500 Elm Way Rio Vista, CA 94571-1304",(707) 374-5335,"Mr. Nicholas Casey, (707) 374-5335, ncasey@rdusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Delta High,Sacramento,River Delta Joint Unified,"52810 Netherlands Ave. Clarksburg, CA 95612-0100",(916) 744-1714,"Christine Mabery, (916) 744-1714, cmabery@rdusd.org",High Schools (Public),10,12,Yes,No,No,No
Isleton Elementary,Sacramento,River Delta Joint Unified,"PO Box 728 Isleton, CA 95641-0728",(916) 777-6515,"Ms. Stacey Wallace, (916) 777-6515, swallace@rdusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Rio Vista High,Sacramento,River Delta Joint Unified,"410 South Fourth St. Rio Vista, CA 94571-1939",(707) 374-6336,"Mrs. Victoria Turk, (707) 374-6336, vturk@rdusd.org",High Schools (Public),9,12,Yes,No,No,No
Riverview Middle,Sacramento,River Delta Joint Unified,"525 South Second St. Rio Vista, CA 94571-1941",(707) 374-2345,"Marcy Rossi, (707) 374-2345, mrossi@rdusd.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Walnut Grove Elementary,Sacramento,River Delta Joint Unified,"14181 Grove St. Walnut Grove, CA 95690",(916) 776-1844,"Ms. Carrie Norris, (916) 776-1844, cnorris@rdusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Bell Avenue Elementary,Sacramento,Robla Elementary,"1900 Bell Ave. Sacramento, CA 95838-3009",(916) 922-0202,"Lisa Hall, lhall@robla.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Glenwood Elementary,Sacramento,Robla Elementary,"201 Jessie Ave. Sacramento, CA 95838-2500",(916) 922-2767,"David Gutierrez, (916) 922-2767, dgutierrez@robla.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Main Avenue Elementary,Sacramento,Robla Elementary,"1400 Main Ave. Sacramento, CA 95838-2406",(916) 929-9559,"Sarah Neuhaus, sneuhaus@robla.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Robla Elementary,Sacramento,Robla Elementary,"5200 Marysville Blvd. Sacramento, CA 95838-1600",(916) 649-5200,"Mario Penman, mpenman@robla.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Taylor Street Elementary,Sacramento,Robla Elementary,"4350 Taylor St. Sacramento, CA 95838-2622",(916) 927-5340,"Vanessa Girard, (916) 927-5340 Ext. 400, vgirard@robla.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
A. M. Winn Waldorf-Inspired,Sacramento,Sacramento City Unified,"3351 Explorer Dr. Sacramento, CA 95827-2954",(916) 228-5880,"Nisha Turturici, nisha-turturici@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Abraham Lincoln Elementary,Sacramento,Sacramento City Unified,"3324 Glenmoor Dr. Sacramento, CA 95827-2436",(916) 228-5830,"Laura Butler, laura-butler@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Albert Einstein Middle,Sacramento,Sacramento City Unified,"9325 Mirandy Dr. Sacramento, CA 95826-5224",(916) 395-5310,"Tarik McFall, tarik-mcfall@scusd.edu",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Alice Birney Waldorf-Inspired,Sacramento,Sacramento City Unified,"6251 13th St. Sacramento, CA 95831-1861",(916) 395-4510,"Mechelle Horning, mechelle-horning@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Arthur A. Benjamin Health Professions High,Sacramento,Sacramento City Unified,"451 McClatchy Way Sacramento, CA 95818-2806",(916) 395-5010,"Iyuanna Pease, iyuanna-pease@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
Bret Harte Elementary,Sacramento,Sacramento City Unified,"2751 Ninth Ave. Sacramento, CA 95818-4406",(916) 277-6261,"James Tucker, james-tucker@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
C. K. McClatchy High,Sacramento,Sacramento City Unified,"3066 Freeport Blvd. Sacramento, CA 95818-4349",(916) 395-5050,"Andrea Egan, andrea-egan@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
Caleb Greenwood Elementary,Sacramento,Sacramento City Unified,"5457 Carlson Dr. Sacramento, CA 95819-2453",(916) 277-6266,"Erin Hanson, (916) 277-6266, erin-hanson@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
California Middle,Sacramento,Sacramento City Unified,"1600 Vallejo Way Sacramento, CA 95818-3837",(916) 395-5302,"Rich Haley, (916) 264-4550, rich-haley@scusd.edu",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Camellia Elementary,Sacramento,Sacramento City Unified,"6600 Cougar Dr. Sacramento, CA 95828-1463",(916) 395-4520,"Suzanne McKelvey, (916) 382-5980, suzanne-mckelvey@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Caroline Wenzel Elementary,Sacramento,Sacramento City Unified,"6870 Greenhaven Dr. Sacramento, CA 95831-2759",(916) 433-5432,"Yee Yang, yee-yang@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Cesar Chavez Intermediate,Sacramento,Sacramento City Unified,"7500 32nd St. Sacramento, CA 95822-5801",(916) 395-4530,"Mr. Eracelo Guevara, Interim, (916) 433-7397, eracleo-guevara@scusd.edu",Elementary Schools (Public),4,6,Yes,No,No,No
Crocker/Riverside Elementary,Sacramento,Sacramento City Unified,"2970 Riverside Blvd. Sacramento, CA 95818-3763",(916) 395-4535,"Daniel McCord, daniel-mccord@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
David Lubin Elementary,Sacramento,Sacramento City Unified,"3535 M St. Sacramento, CA 95816-5403",(916) 277-6271,"Richard Dixon, richard-dixon@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Earl Warren Elementary,Sacramento,Sacramento City Unified,"5420 Lowell St. Sacramento, CA 95820-6606",(916) 395-4545,"Matt Schlager, (916) 395-4545, matthew-schlager@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Edward Kemble Elementary,Sacramento,Sacramento City Unified,"7495 29th St. Sacramento, CA 95822-5525",(916) 395-4550,"Neng Her, neng-her@scusd.edu",Elementary Schools (Public),K,3,Yes,No,No,No
Elder Creek Elementary,Sacramento,Sacramento City Unified,"PO Box 246870 Sacramento, CA 95824-6870",(916) 382-5970,"Thu Le-Doan, thu-le@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Ethel I. Baker Elementary,Sacramento,Sacramento City Unified,"5717 Laurine Way Sacramento, CA 95824-1413",(916) 395-4560,"Nathan McGill, nathan-mcgill@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Ethel Phillips Elementary,Sacramento,Sacramento City Unified,"2930 21st Ave. Sacramento, CA 95820-3719",(916) 277-6277,"Mr. Daniel Hernandez, (916) 277-6277, daniel-hernandez@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Father Keith B. Kenny,Sacramento,Sacramento City Unified,"3525 Martin Luther King Jr. Blvd. Sacramento, CA 95817-3654",(916) 395-4570 Ext. 104,"Gail Johnson, gail-johnson@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Fern Bacon Middle,Sacramento,Sacramento City Unified,"4140 Cuny Ave. Sacramento, CA 95823-1911",(916) 395-5340,"Mary Coronado, mary-coronado@scusd.edu",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Genevieve Didion,Sacramento,Sacramento City Unified,"6490 Harmon Dr. Sacramento, CA 95831-1049",(916) 433-5039,"James Eder, james-eder@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Golden Empire Elementary,Sacramento,Sacramento City Unified,"9045 Canberra Dr. Sacramento, CA 95826-4414",(916) 395-4580,"Irene Eister, ireneei@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
H. W. Harkness Elementary,Sacramento,Sacramento City Unified,"2147 54th Ave. Sacramento, CA 95822-4108",(916) 433-5042,"Isabel Govea, (916) 433-5042, isabel-govea@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Hiram W. Johnson High,Sacramento,Sacramento City Unified,"6879 14th Ave. Sacramento, CA 95820-3431",(916) 395-5070,"Garrett Kirkland, garrett-kirkland@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
Hollywood Park Elementary,Sacramento,Sacramento City Unified,"4915 Harte Way Sacramento, CA 95822-2110",(916) 395-4590,"Tenley Luke, tenley-luke@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Hubert H. Bancroft Elementary,Sacramento,Sacramento City Unified,"2929 Belmar St. Sacramento, CA 95826-3604",(916) 395-4595,"Lorena Carrillo, lorena-carrillo@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Isador Cohen Elementary,Sacramento,Sacramento City Unified,"9025 Salmon Falls Dr. Sacramento, CA 95826-2425",(916) 228-5840,"Ms. Belinda Bridgewater, belinda-bridgewater@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
James Marshall Elementary,Sacramento,Sacramento City Unified,"9525 Goethe Rd. Sacramento, CA 95827-3202",(916) 395-4605,"Marla Van Laningham, marla-vanlaningham@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
John Bidwell Elementary,Sacramento,Sacramento City Unified,"1730 65th Ave. Sacramento, CA 95822-4804",(916) 433-5047,"Shannon Henry, (916) 433-5047, shannon-henry@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
John Cabrillo Elementary,Sacramento,Sacramento City Unified,"1141 Seamas Ave. Sacramento, CA 95822-2442",(916) 395-4615,"Ms. Samantha Holmes, (916) 264-4171, samantha-holmes@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
John D. Sloat Elementary,Sacramento,Sacramento City Unified,"7525 Candlewood Way Sacramento, CA 95822-5116",(916) 433-5051,"Ms. Claudia Alfaro, claudia-alfaro@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
John F. Kennedy High,Sacramento,Sacramento City Unified,"6715 Gloria Dr. Sacramento, CA 95831-2008",(916) 395-5090,"David Van Natten, david-vannatten@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
John H. Still,Sacramento,Sacramento City Unified,"2250 John Still Dr. Sacramento, CA 95832-1331",(916) 433-5375,"Reginald Brown, reginald-brown@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Kit Carson International Academy,Sacramento,Sacramento City Unified,"5301 N St. Sacramento, CA 95819-4126",(916) 277-6750,"Santiago Chapa, santiago-chapa@scusd.edu",High Schools (Public),7,12,Yes,No,Yes,No
Leataata Floyd Elementary,Sacramento,Sacramento City Unified,"401 McClatchy Way Sacramento, CA 95818-2806",(916) 395-4630,"Michelle Blanton, (916) 264-4175, michelle-blanton@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Leonardo Da Vinci,Sacramento,Sacramento City Unified,"4701 Joaquin Way Sacramento, CA 95822-2120",(916) 395-4635,"Ms. Devon Davis, (916) 277-6496, devon-davis@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Luther Burbank High,Sacramento,Sacramento City Unified,"3500 Florin Rd. Sacramento, CA 95823-1767",(916) 433-5100,"Jim Peterson, jim-peterson@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
Mark Twain Elementary,Sacramento,Sacramento City Unified,"4914 58th St. Sacramento, CA 95820-5608",(916) 395-4640,"Rosario Jovel, rosario-jovel@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
"Martin Luther King, Jr.",Sacramento,Sacramento City Unified,"480 Little River Way Sacramento, CA 95831-3711",(916) 395-4645,"Faye Sharpe, (916) 433-5062, faye-sharpe@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Matsuyama Elementary,Sacramento,Sacramento City Unified,"7680 Windbridge Dr. Sacramento, CA 95831-4171",(916) 395-4650,"Judy Montgomery, judy-montgomery@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Nicholas Elementary,Sacramento,Sacramento City Unified,"6601 Steiner Dr. Sacramento, CA 95823-1429",(916) 433-5076,"Ms. Rachel Lane, rachel-lane@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
O. W. Erlewine Elementary,Sacramento,Sacramento City Unified,"2441 Stansberry Way Sacramento, CA 95826-2120",(916) 395-4660,"Eric Chapman, eric-chapman@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Oak Ridge Elementary,Sacramento,Sacramento City Unified,"4501 Martin Luther King Blvd. Sacramento, CA 95820-2731",(916) 395-4665,"Daniel Rolleri, Interim, daniel-rolleri@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Pacific Elementary,Sacramento,Sacramento City Unified,"6201 41st St. Sacramento, CA 95824-3736",(916) 433-5089,"Tara Lampkins, tara-lampkins@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Parkway Elementary,Sacramento,Sacramento City Unified,"4720 Forest Pkwy. Sacramento, CA 95823-3140",(916) 433-5082,"Mr. Krystle Andrews, krystle-andrews@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Peter Burnett Elementary,Sacramento,Sacramento City Unified,"6032 36th Ave. Sacramento, CA 95824-3107",(916) 277-6685,"Manuel Huezo, manuel-huezo@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Phoebe A. Hearst Elementary,Sacramento,Sacramento City Unified,"1410 60th St. Sacramento, CA 95819-4221",(916) 277-6690,"Michelle Pechette, (916) 277-6690, michelle-pechette@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Pony Express Elementary,Sacramento,Sacramento City Unified,"1250 56th Ave. Sacramento, CA 95831-3149",(916) 395-4690,"Gino Dobrescu, gino-dobrescu@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Rosa Parks Elementary,Sacramento,Sacramento City Unified,"2250 68th Ave. Sacramento, CA 95822-5302",(916) 395-5327,"Cory Jones, cory-jones@scusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Rosemont High,Sacramento,Sacramento City Unified,"9594 Kiefer Blvd. Sacramento, CA 95827-3817",(916) 395-5130,"Elizabeth Vigil, (916) 228-5844, elizabeth-vigil@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
Sam Brannan Middle,Sacramento,Sacramento City Unified,"5301 Elmer Way Sacramento, CA 95822-2414",(916) 395-5360,"Enrique Flores, enrique-flores@scusd.edu",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Sequoia Elementary,Sacramento,Sacramento City Unified,"3333 Rosemont Dr. Sacramento, CA 95826-4042",(916) 228-5850,"Cindy Hollander, cindy-hollander@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Susan B. Anthony Elementary,Sacramento,Sacramento City Unified,"7864 Detroit Blvd. Sacramento, CA 95832-1500",(916) 433-5353,"Bao Moua, bao-moua@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Sutter Middle,Sacramento,Sacramento City Unified,"3150 I St. Sacramento, CA 95816-4422",(916) 395-5370,"Cristin Tahara-Martin, cristin-tahara-martin@scusd.edu",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Sutterville Elementary,Sacramento,Sacramento City Unified,"4967 Monterey Way Sacramento, CA 95822-2618",(916) 277-6693,"Lori Aoun, aounl@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Tahoe Elementary,Sacramento,Sacramento City Unified,"3110 60th St. Sacramento, CA 95820-1833",(916) 277-6360,"Aprille Shafto, aprille-shafto@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Theodore Judah Elementary,Sacramento,Sacramento City Unified,"3919 McKinley Blvd. Sacramento, CA 95819-2049",(916) 395-4790,"Troy Holding, (916) 395-4790, troy-holding@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Washington Elementary,Sacramento,Sacramento City Unified,"520 18th St. Sacramento, CA 95814-1007",(916) 264-4160,"Gema Godina, (916) 264-4160, gema-godina@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
West Campus,Sacramento,Sacramento City Unified,"5022 58th St. Sacramento, CA 95820-5610",(916) 277-6400,"John McMeekin, john-mcmeekin@scusd.edu",High Schools (Public),9,12,Yes,No,No,No
Will C. Wood Middle,Sacramento,Sacramento City Unified,"6201 Lemon Hill Ave. Sacramento, CA 95824-3225",(916) 395-5380,"Tuan Duong, tuan-duong@scusd.edu",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
William Land Elementary,Sacramento,Sacramento City Unified,"2120 12th St. Sacramento, CA 95818-1428",(916) 264-4166,"Ellen Carlson, ellen-lee@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Woodbine Elementary,Sacramento,Sacramento City Unified,"2500 52nd Ave. Sacramento, CA 95822-4023",(916) 433-5358,"Chase Tafoya, (916) 433-5358, chase-tafoya@scusd.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Albert Schweitzer Elementary,Sacramento,San Juan Unified,"4350 Glenridge Dr. Carmichael, CA 95608-2043",(916) 867-2094,"Teresa Rowan, (916) 867-2094, teresa.rowan@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Andrew Carnegie Middle,Sacramento,San Juan Unified,"5820 Illinois Ave. Orangevale, CA 95662-4418",(916) 971-7853,"Suzanne Ambrosini, suzanne.bender@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Arcade Fundamental Middle,Sacramento,San Juan Unified,"3500 Edison Ave. Sacramento, CA 95821-2710",(916) 971-7300,"Lindsey McManigal, (916) 971-7300, lindsey.mcmanigal@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Arden Middle,Sacramento,San Juan Unified,"1640 Watt Ave. Sacramento, CA 95864-2964",(916) 971-7306,"Stephanie Malia, (916) 971-7306, stephanie.malia@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Arlington Heights Elementary,Sacramento,San Juan Unified,"6401 Trenton Way Citrus Heights, CA 95621-4821",(916) 971-5234,"Rafael Martinez, (916) 971-5234, rafael.martinez@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Bella Vista High,Sacramento,San Juan Unified,"8301 Madison Ave. Fair Oaks, CA 95628-3823",(916) 971-5052,"Darrin Kitchen, (916) 971-5052, darrin.kitchen@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
Cambridge Heights Elementary,Sacramento,San Juan Unified,"5555 Fleetwood Dr. Citrus Heights, CA 95621-7313",(916) 867-2000,"Vincent Arias, (916) 867-2000, vincent.arias@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Cameron Ranch Elementary,Sacramento,San Juan Unified,"4333 Hackberry Ln. Carmichael, CA 95608-1329",(916) 575-2302,"Aliceon Sloss, (916) 575-2302, asloss@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Carmichael Elementary,Sacramento,San Juan Unified,"6141 Sutter Ave. Carmichael, CA 95608-2799",(916) 971-5727,"Gelika Harrison, (916) 971-5727, gharrison@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Carriage Drive Elementary,Sacramento,San Juan Unified,"7519 Carriage Dr. Citrus Heights, CA 95621-2000",(916) 971-5241,"Kari Nichols, (916) 971-5241, kari.nichols@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Casa Roble Fundamental High,Sacramento,San Juan Unified,"9151 Oak Ave. Orangevale, CA 95662-2730",(916) 971-5452,"Tanya Baker, (916) 971-7437, tanya.baker@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
